Day	Organism (KBS0802)	Dilution	# Colonies	CFU
1	Anc	1.00E-05	148	148000000
1	A1	1.00E-05	137	137000000
1	B1	1.00E-05	152	152000000
1	C1	1.00E-05	122	122000000
4	Anc	1.00E-05	131	131000000
4	A1	1.00E-05	177	177000000
4	B1	1.00E-05	137	137000000
4	C1	1.00E-05	154	154000000
8	Anc	1.00E-05	21	21000000
8	A1	1.00E-04	269	26900000
8	B1	1.00E-04	113	11300000
8	C1	1.00E-04	101	10100000
9	Anc	1.00E-05	28	28000000
9	A1	1.00E-04	244	24400000
9	B1	1.00E-04	84	8400000
9	C1	1.00E-04	126	12600000
11	Anc	1.00E-04	231	23100000
11	A1	1.00E-04	206	20600000
11	B1	1.00E-04	85	8500000
11	C1	1.00E-04	92	9200000
14	Anc	1.00E-04	232	23200000
14	A1	1.00E-04	258	25800000
14	B1	1.00E-04	83	8300000
14	C1	1.00E-04	71	7100000
15	Anc	1.00E-04	213	21300000
15	A1	1.00E-04	267	26700000
15	B1	1.00E-04	69	6900000
15	C1	1.00E-04	79	7900000
